"ID","ID_nxt","x","y","is_canal","Q","V","H","slope","Q_design_m3s","Q_model_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_season","Q_value_origin","Q_derivation_rule","Q_source_note","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","C_w","C_sd","concentration_units"
"LakeIn_1405722","LakeOut_1405722",0.279992077449233,6.06332554569728,FALSE,2170.43994140625,0.466458591090886,11.2623855129813,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2170.43994140625,2170.43994140625,"legacy_pass_through",NA,NA,NA,"viral particles/L"
"LakeIn_1405735","LakeOut_1405735",0.272642816685838,6.03569055914313,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085.21997070312,1085.21997070312,"legacy_pass_through",NA,NA,NA,"viral particles/L"
"LakeIn_1405736","LakeOut_1405736",0.283571035174691,6.02916671633657,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2170.43994140625,2170.43994140625,"legacy_pass_through",NA,NA,NA,"viral particles/L"
"LakeIn_1405736_02","LakeOut_1405736",0.271605003608553,6.02160501494269,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2170.43994140625,2170.43994140625,"legacy_pass_through",NA,NA,NA,"viral particles/L"
"LakeIn_1405738","LakeOut_1405738",0.391927230731538,6.03359393167749,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085.21997070312,1085.21997070312,"legacy_pass_through",NA,NA,NA,"viral particles/L"
"LakeIn_180414","LakeOut_180414",0.270833349223131,6.05140038286243,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085.21997070312,1085.21997070312,"legacy_pass_through",NA,NA,NA,"viral particles/L"
"LakeOut_1405722","P_00095",0.280563293404389,6.06389675917179,FALSE,2170.43994140625,0.466458591090886,11.2623855129813,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2170.43994140625,2170.43994140625,"legacy_pass_through",NA,0.515406942804781,NA,"viral particles/L"
"LakeOut_1405735","P_00102",0.271765915993943,6.03656744218632,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085.21997070312,1085.21997070312,"legacy_pass_through",NA,0.797698851908499,NA,"viral particles/L"
"LakeOut_1405736","P_00110",0.281718900636635,6.02916669979665,FALSE,2170.43994140625,0.466458591090886,11.2623855129813,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2170.43994140625,2170.43994140625,"legacy_pass_through",NA,0.399372594644895,NA,"viral particles/L"
"LakeOut_1405738","Source00064",0.393358990105255,6.03502568551393,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085.21997070312,1085.21997070312,"legacy_pass_through",NA,0.1659829083347,NA,"viral particles/L"
"LakeOut_180414","Source00054",0.273574881332854,6.05690828950747,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085.21997070312,1085.21997070312,"legacy_pass_through",NA,0.878766655293704,NA,"viral particles/L"
"P_00001","P_00002",0.212499999999924,6.21666666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00002","Source00001",0.212499999999924,6.18749999999984,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00003","P_00004",0.220833333333257,6.17916666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028467829048755,NA,"viral particles/L"
"P_00004","P_00026",0.22916666666659,6.1791666666665,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028418138515636,NA,"viral particles/L"
"P_00005","P_00006",0.250000047811225,6.2250000015708,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00006","P_00007",0.254166666666592,6.22083333333318,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00007","P_00008",0.245833333333255,6.21249999999984,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00008","P_00009",0.245833333333255,6.20416666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00009","P_00010",0.229166666666589,6.18749999999984,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00010","P_00026",0.22916666666659,6.1791666666665,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00011","P_00012",0.0875000000000168,6.15416666666641,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00012","P_00013",0.112499999999923,6.12916666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00013","P_00021",0.120833333333259,6.12916666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00014","Source00002",0.133333333333258,6.18333333333317,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00015","Source00003",0.145833333333259,6.17083333333317,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0459736206653994,NA,"viral particles/L"
