"key","value"
"generated_date","2026-05-04"
"basin_id","volta"
"run_output_dir","/Users/gtazzi/aude/AudLem/ePiE/Outputs/volta_giardia_wet"
"pathogen_profile_set","ghana_ssa_screening"
"pathogen_profile_id","ghana_ssa_giardia_screening"
"pathogen_profile_label","Ghana/SSA Giardia screening profile"
"pathogen_profile_region","Ghana / Sub-Saharan Africa"
"pathogen_profile_country","GH"
"pathogen_profile_confidence","screening_requires_calibration"
"pathogen_prevalence_rate","0.07"
"pathogen_excretion_rate","1e+09"
"pathogen_direct_fraction_overrides",NA
"pathogen_prevalence_source","University of Ghana scoping review; screening assumption"
"pathogen_excretion_source","Legacy ePiE screening value; literature review required"
"canal_q_source_id","jica_2012_peak"
"canal_q_reference_short",NA
"canal_q_reference_url",NA
"canal_q_regime","peak"
"canal_q_data_period",NA
"canal_q_season",NA
"map_scale",NA
"flow_raster","/Users/gtazzi/aude/AudLem/ePiE/Inputs/baselines/environmental/FLO1K.30min.ts.1960.2015.qav.nc"
"rivers_layer","Outputs/volta_wet/network_rivers.shp"
"basin_layer","/Users/gtazzi/aude/AudLem/ePiE/Inputs/basins/volta/small_sub_basin_volta_dissolved.shp"
